date,difficulty,count
2025-08-18,easy,1
2025-08-18,medium,2
2025-08-18,hard,2
2025-08-19,easy,1
2025-08-19,medium,1
2025-08-19,hard,4
2025-08-20,easy,1
2025-08-20,medium,1
2025-08-20,hard,1
2025-08-21,easy,1
2025-08-21,medium,4
2025-08-21,hard,2
2025-08-22,easy,1
2025-08-22,medium,2
2025-08-22,hard,1
2025-08-23,easy,2
2025-08-23,medium,4
2025-08-23,hard,80
2025-08-24,easy,1
2025-08-24,medium,1
2025-08-24,hard,2
2025-08-25,easy,1
2025-08-25,medium,1
2025-08-25,hard,1
2025-08-26,easy,1
2025-08-26,medium,1
2025-08-26,hard,2
2025-08-27,easy,5
2025-08-27,medium,1
2025-08-27,hard,1
2025-08-28,easy,1
2025-08-28,medium,2
2025-08-28,hard,32
2025-08-29,easy,1
2025-08-29,medium,1
2025-08-29,hard,1
2025-08-30,easy,1
2025-08-30,medium,2
2025-08-30,hard,1
2025-08-31,easy,1
2025-08-31,medium,1
2025-08-31,hard,3
2025-09-01,easy,1
2025-09-01,medium,1
2025-09-01,hard,12
2025-09-02,easy,1
2025-09-02,medium,1
2025-09-02,hard,4
2025-09-03,easy,1
2025-09-03,medium,1
2025-09-03,hard,1
2025-09-04,easy,1
2025-09-04,medium,1
2025-09-04,hard,86
2025-09-05,easy,2
2025-09-05,medium,4
2025-09-05,hard,1
2025-09-06,easy,1
2025-09-06,medium,1
2025-09-06,hard,1
2025-09-07,easy,2
2025-09-07,medium,1
2025-09-07,hard,1
2025-09-08,easy,1
2025-09-08,medium,24
2025-09-08,hard,1
2025-09-09,easy,1
2025-09-09,medium,1
2025-09-09,hard,1
2025-09-10,easy,2
2025-09-10,medium,21
2025-09-10,hard,1
2025-09-11,easy,1
2025-09-11,medium,1
2025-09-11,hard,1
2025-09-12,easy,1
2025-09-12,medium,1
2025-09-12,hard,1
2025-09-13,easy,3
2025-09-13,medium,8
2025-09-13,hard,1
2025-09-14,easy,1
2025-09-14,medium,1
2025-09-14,hard,1
2025-09-15,easy,1
2025-09-15,medium,4
2025-09-15,hard,2764800
2025-09-16,easy,1
2025-09-16,medium,1
2025-09-16,hard,4
2025-09-17,easy,2
2025-09-17,medium,1
2025-09-17,hard,48
2025-09-18,easy,3
2025-09-18,medium,2
2025-09-18,hard,1
2025-09-19,easy,1
2025-09-19,medium,1
2025-09-19,hard,3
2025-09-20,easy,2
2025-09-20,medium,2
2025-09-20,hard,3
2025-09-21,easy,1
2025-09-21,medium,4
2025-09-21,hard,1
2025-09-22,easy,1
2025-09-22,medium,1
2025-09-22,hard,1
2025-09-23,easy,1
2025-09-23,medium,1
2025-09-23,hard,4
2025-09-24,easy,1
2025-09-24,medium,1
2025-09-24,hard,1
2025-09-25,easy,1
2025-09-25,medium,1
2025-09-25,hard,1
2025-09-26,easy,1
2025-09-26,medium,1
2025-09-26,hard,1
2025-09-27,easy,1
2025-09-27,medium,1
2025-09-27,hard,1
2025-09-28,easy,1
2025-09-28,medium,1
2025-09-28,hard,2
2025-09-29,easy,1
2025-09-29,medium,1
2025-09-29,hard,1
2025-09-30,easy,1
2025-09-30,medium,5
2025-09-30,hard,110
2025-10-01,easy,1
2025-10-01,medium,1
2025-10-01,hard,2
2025-10-02,easy,1
2025-10-02,medium,1
2025-10-02,hard,1
2025-10-03,easy,1
2025-10-03,medium,1
2025-10-03,hard,1
2025-10-04,easy,1
2025-10-04,medium,1
2025-10-04,hard,2
2025-10-05,easy,1
2025-10-05,medium,8
2025-10-05,hard,344
2025-10-06,easy,2
2025-10-06,medium,1
2025-10-06,hard,1
2025-10-07,easy,1
2025-10-07,medium,1
2025-10-07,hard,4
2025-10-08,easy,2
2025-10-08,medium,1
2025-10-08,hard,1
2025-10-09,easy,1
2025-10-09,medium,1
2025-10-09,hard,1
2025-10-10,easy,1
2025-10-10,medium,1
2025-10-10,hard,1
2025-10-11,easy,1
2025-10-11,medium,1
2025-10-11,hard,1
2025-10-12,easy,1
2025-10-12,medium,1
2025-10-12,hard,1
2025-10-13,easy,1
2025-10-13,medium,2
2025-10-13,hard,1
2025-10-14,easy,1
2025-10-14,medium,1
2025-10-14,hard,1
2025-10-15,easy,1
2025-10-15,medium,1
2025-10-15,hard,1
2025-10-16,easy,1
2025-10-16,medium,1
2025-10-16,hard,4
2025-10-17,easy,1
2025-10-17,medium,1
2025-10-17,hard,1
